Name,Age,Gender,Email,Phone No.,Programming_Skills,Coding_Skills_Years,Job_Experience_NumCompanies,Previous_Salary,Desired_Salary,Projects,Internships,Education,Gap_Years,Shortlisting_class
Rishi Nayar,51,Male,rishi.nayar75@outlook.com,6980302005,0,3,1,813747,1107231,2,0,B.E.,0,Rejected
Alka Baral,24,Female,alka.baral42@gmail.com,9158016808,3,13,5,1246577,1622046,15,4,B.E.,0,Shortlisted
Indali Kibe,31,Female,indali.kibe2@gmail.com,7392152700,6,7,5,2464224,3442903,20,1,M.Tech,0,Shortlisted
Edhitha Kapoor,32,Female,edhitha.kapoor10@yahoo.com,7635900354,0,0,1,979063,1753029,0,0,Diploma,2,Rejected
Yashasvi Khosla,48,Female,yashasvi.khosla86@yahoo.com,8327197425,10,13,3,4009716,5013797,16,4,B.E.,0,Shortlisted
Parth Grover,32,Male,parth.grover14@outlook.com,8973961507,2,0,1,974945,1411151,1,1,BCA,3,Rejected
Ekaja Singhal,27,Female,ekaja.singhal25@yahoo.com,8534844443,3,3,1,351738,699198,1,0,M.Tech,0,Rejected
Turvi Mand,45,Female,turvi.mand36@yahoo.com,9617861510,3,10,2,3781711,5017527,18,1,MCA,0,Shortlisted
Ekansh Wable,53,Male,ekansh.wable31@yahoo.com,6602725816,7,4,2,3537681,4461412,9,1,B.E.,1,Shortlisted
Tarak Patla,53,Male,tarak.patla17@outlook.com,6954555074,9,14,2,2225069,2541074,10,2,MCA,0,Shortlisted
Raagini Prabhakar,28,Female,raagini.prabhakar48@yahoo.com,6980838714,0,3,0,109385,194931,3,0,MCA,0,Rejected
Ethan Mangal,30,Male,ethan.mangal32@yahoo.com,6159198423,3,3,0,550502,880448,3,0,B.E.,0,Rejected
Kalpit Singhal,22,Male,kalpit.singhal21@outlook.com,7182819771,6,8,3,2988726,3861217,20,2,MCA,0,Shortlisted
Faqid Viswanathan,26,Male,faqid.viswanathan72@yahoo.com,8630495177,4,5,5,3975251,5547588,9,3,M.Tech,0,Rejected
Balveer Buch,47,Male,balveer.buch20@gmail.com,7906054436,7,11,5,2666690,3554664,7,3,M.Tech,0,Shortlisted
Netra Radhakrishnan,31,Female,netra.radhakrishnan77@outlook.com,8465946987,8,15,5,3201950,4168041,18,3,MCA,0,Shortlisted
Raghav Sachdev,44,Male,raghav.sachdev10@outlook.com,6203061135,4,9,2,1667797,2241661,5,4,B.E.,0,Shortlisted
Gaurav Kar,45,Male,gaurav.kar19@gmail.com,8618151586,3,0,2,586711,1047835,1,1,BCA,3,Rejected
Rachana Pillay,44,Female,rachana.pillay79@gmail.com,7467247028,9,14,5,3430066,4117642,17,4,BSc Computer Science,1,Shortlisted
Samesh Chadha,33,Male,samesh.chadha24@gmail.com,7956402965,3,2,2,763490,1107766,2,1,MCA,0,Rejected
Sachi Chacko,41,Female,sachi.chacko17@yahoo.com,7672829369,9,8,5,2181282,2562263,10,5,BSc Computer Science,0,Shortlisted
Inaya Tata,28,Female,inaya.tata95@yahoo.com,7148531061,10,12,4,3669609,4619519,16,5,MCA,0,Shortlisted
Omaja Rastogi,30,Female,omaja.rastogi88@gmail.com,6395578333,9,11,2,3175837,4029133,13,1,B.E.,0,Shortlisted
Yatan Sahota,34,Male,yatan.sahota71@yahoo.com,8580544537,7,5,5,1025974,1134065,19,1,B.E.,0,Shortlisted
Warhi Nori,35,Female,warhi.nori35@gmail.com,7330474152,3,0,1,337471,516480,0,0,BSc Computer Science,4,Rejected
Deepa Kanda,22,Female,deepa.kanda49@gmail.com,7348955068,1,0,1,492700,956024,0,0,M.Tech,1,Rejected
Lekha Prakash,48,Female,lekha.prakash38@outlook.com,7187170027,6,6,5,1625765,1951636,18,1,BSc Computer Science,0,Shortlisted
Anjali Saha,44,Female,anjali.saha3@gmail.com,8568602658,8,9,3,1613417,2091142,14,1,M.Tech,0,Shortlisted
Warjas Sahota,48,Male,warjas.sahota72@gmail.com,9589290445,8,12,2,2685563,3109049,19,2,B.E.,1,Shortlisted
Teerth Sahota,40,Male,teerth.sahota91@outlook.com,8617021443,3,2,0,463416,900932,2,1,BCA,4,Rejected
Dev Hari,33,Male,dev.hari5@gmail.com,7476802300,2,3,0,871751,1185948,0,0,M.Tech,3,Rejected
Panini Basak,46,Female,panini.basak60@gmail.com,8454688972,0,1,0,313234,564952,2,0,BSc Computer Science,2,Rejected
Vasudha Choudhry,25,Female,vasudha.choudhry76@gmail.com,7956572786,1,1,2,946110,1772836,3,1,MCA,1,Rejected
Yashvi Kala,44,Female,yashvi.kala82@gmail.com,6955534506,1,3,1,259885,504794,2,0,MBA,3,Rejected
Nihal Suri,54,Male,nihal.suri67@gmail.com,9817258598,7,13,2,2961593,3940462,19,5,B.E.,0,Shortlisted
Mitali More,27,Female,mitali.more87@gmail.com,8222936728,10,13,4,3878305,4670682,17,5,M.Tech,0,Shortlisted
Charita Bala,27,Female,charita.bala89@outlook.com,6400340769,10,11,2,4387356,5994052,19,1,B.E.,0,Shortlisted
Aahana Ben,39,Female,aahana.ben40@outlook.com,7559708286,10,6,5,2629879,2991308,16,3,BSc Computer Science,0,Shortlisted
Oni Bakshi,23,Female,oni.bakshi56@outlook.com,7616846131,1,1,2,735631,1180589,2,1,MBA,4,Rejected
Ekanta Zacharia,40,Female,ekanta.zacharia10@outlook.com,7395881418,0,3,0,676189,1292908,0,1,MSc,2,Rejected
Tejas Roy,48,Male,tejas.roy76@outlook.com,7733718746,10,8,3,1577078,1994004,11,1,M.Tech,0,Shortlisted
Gaurika Sangha,35,Female,gaurika.sangha97@outlook.com,8663001187,6,8,3,3925426,4373053,19,5,M.Tech,0,Shortlisted
Abdul Raman,25,Male,abdul.raman26@yahoo.com,7469309225,4,13,5,1169245,1399371,8,3,BSc Computer Science,0,Shortlisted
Dayamai Dasgupta,54,Female,dayamai.dasgupta86@outlook.com,6561667581,6,6,3,1407830,1782118,17,3,BSc Computer Science,0,Shortlisted
Jagdish Guha,24,Male,jagdish.guha50@outlook.com,6206379454,6,9,4,2569396,3162107,12,4,M.Tech,0,Shortlisted
Laban Batra,45,Male,laban.batra84@gmail.com,8339590484,6,5,5,2057793,2500227,15,3,BSc Computer Science,0,Shortlisted
Nihal Arora,22,Male,nihal.arora23@gmail.com,7609242959,4,5,5,2304990,2670346,17,4,MCA,1,Shortlisted
Aadi Buch,41,Male,aadi.buch59@yahoo.com,7432797838,10,9,5,3834995,4319799,9,4,MCA,0,Shortlisted
Edhitha Chanda,31,Female,edhitha.chanda83@gmail.com,6942789613,1,1,1,553005,881304,1,0,B.E.,2,Rejected
Gopal Sant,43,Male,gopal.sant17@gmail.com,9116175882,2,0,0,721268,1005004,4,1,Diploma,2,Rejected
Victor Lal,32,Male,victor.lal62@outlook.com,9658017551,3,2,2,645753,876910,1,0,B.E.,1,Rejected
Meghana Balakrishnan,51,Female,meghana.balakrishnan34@gmail.com,8658459422,9,8,2,3624102,4378018,5,3,B.E.,0,Shortlisted
Pushti Natt,36,Female,pushti.natt36@outlook.com,7178875279,3,13,4,1138814,1533450,19,3,B.E.,0,Shortlisted
Oscar Shankar,24,Male,oscar.shankar25@yahoo.com,9194805854,8,7,3,3201578,3798467,6,1,M.Tech,0,Shortlisted
Ikshita Kar,45,Female,ikshita.kar72@gmail.com,8158315055,1,1,1,500976,698861,3,0,MCA,0,Rejected
Krisha Setty,43,Female,krisha.setty44@yahoo.com,6458961281,1,2,1,421721,676233,4,1,MSc,3,Rejected
Chaitanya Mannan,28,Male,chaitanya.mannan96@yahoo.com,7482540036,3,8,3,1791714,2007577,17,5,B.E.,0,Shortlisted
Manthan Dutt,52,Male,manthan.dutt58@gmail.com,6380979969,7,10,3,1713483,1929205,16,1,BSc Computer Science,0,Shortlisted
Urvashi Majumdar,45,Female,urvashi.majumdar57@yahoo.com,7972860283,8,7,5,1695300,2143708,16,4,B.E.,0,Shortlisted
Farhan Parikh,31,Male,farhan.parikh74@yahoo.com,6146599432,4,6,2,1668562,1927466,11,3,B.E.,0,Shortlisted
Omisha Choudhary,27,Female,omisha.choudhary19@yahoo.com,8665936049,8,10,5,3813997,5070348,16,2,B.E.,0,Shortlisted
Xalak Kapoor,44,Female,xalak.kapoor67@yahoo.com,6265855443,2,3,0,910180,1617462,1,0,B.E.,2,Rejected
Qushi Pau,34,Female,qushi.pau6@outlook.com,8816467570,6,4,4,1724733,1963603,17,5,B.E.,0,Shortlisted
Charita Khurana,34,Female,charita.khurana16@outlook.com,7220462042,8,4,5,3387767,4349359,6,1,M.Tech,0,Shortlisted
Wishi Sami,48,Female,wishi.sami39@gmail.com,9201730563,10,6,3,1766430,2079959,16,5,B.E.,0,Shortlisted
Arin Patil,53,Male,arin.patil62@yahoo.com,9245847692,1,1,1,577945,977109,4,0,BSc Computer Science,0,Rejected
Vrishti Ramaswamy,36,Female,vrishti.ramaswamy19@outlook.com,8805815762,0,3,0,438252,755463,0,0,MSc,0,Rejected
Michael Bal,22,Male,michael.bal19@gmail.com,7662928600,9,9,5,2044647,2298449,11,3,M.Tech,1,Shortlisted
Aishani Oak,48,Female,aishani.oak48@outlook.com,7523236164,3,9,2,4465354,6055502,20,4,BSc Computer Science,0,Shortlisted
Waida Gara,52,Female,waida.gara1@gmail.com,6257770837,8,14,3,1365317,1910075,14,3,BSc Computer Science,0,Shortlisted
Pratyush Morar,29,Male,pratyush.morar98@yahoo.com,9660747667,6,8,4,2609551,3544215,8,5,M.Tech,0,Shortlisted
Madhavi Agate,32,Female,madhavi.agate64@outlook.com,6394630105,1,2,2,622422,1151424,3,0,BCA,0,Rejected
Edhitha Kaur,34,Female,edhitha.kaur72@gmail.com,6228902286,3,1,1,205048,298948,0,0,MSc,3,Rejected
Watika Oak,38,Female,watika.oak35@outlook.com,6912830041,6,5,2,2338294,3247863,5,1,MCA,0,Rejected
Nilima Kar,40,Female,nilima.kar17@gmail.com,7396143375,10,9,3,2602323,3511170,19,4,MCA,0,Shortlisted
Om Walla,53,Male,om.walla25@gmail.com,8385287443,8,7,3,3869779,5313140,9,4,BSc Computer Science,0,Shortlisted
Oliver Randhawa,33,Male,oliver.randhawa26@yahoo.com,9908065222,3,0,2,773053,1351858,0,1,BSc Computer Science,3,Rejected
